,cash,SPY,LQD,EEM,EFA,TLT,IEF,SHY
2005-02-09,0.0,0.1453181784521434,0.14644090360326406,0.14767759464108346,0.1437047682167319,0.1494353513180701,0.14649351015590137,0.1450092493149233
2005-02-10,0.0,0.14584195183257812,0.14592581409593836,0.14839274879075004,0.1451972465046751,0.14741891810721183,0.1455775167064739,0.14490226865102637
2005-02-11,0.0,0.14709649892975227,0.14550065555099156,0.1498375200356943,0.14620441376688145,0.1473236178598213,0.14539077589499189,0.14483099597431714
2005-02-14,0.0,0.14698684370966275,0.14574546106719202,0.15091031116588607,0.14733977131826645,0.1477840533941966,0.14557751670647387,0.14475965164877483
2005-02-15,0.0,0.1475349239972173,0.1455264581545487,0.1512679139145873,0.1483285661722275,0.1470379150737774,0.1453569537628821,0.14477746533990007
2005-02-16,0.0,0.14763237354697542,0.14483099597431714,0.15080304574559647,0.14701929125606422,0.14648217929201154,0.14483099597431714,0.14470630013644048
2005-02-17,0.0,0.14643872425952956,0.14450892015656197,0.15055272553309682,0.1473214596595997,0.14556136031697878,0.144508594520543,0.14477746533990007
2005-02-18,0.0,0.14663361030485292,0.14426422268323896,0.15240514645333025,0.14805396072031562,0.14425939244610164,0.14377906028292486,0.14458146100089764
2005-02-22,0.0,0.14445342955400173,0.14413551414992604,0.15184725330280535,0.14770598713457958,0.14362437002580491,0.1437962177486933,0.14463487520596094
2005-02-23,0.0,0.14548870537357542,0.14434143405231503,0.15254821836145227,0.14777925112626913,0.14410067330662993,0.14391480138226634,0.1446171152514605
2005-02-24,0.0,0.14645091687566802,0.14405824384837135,0.15491550302952864,0.14800812082407017,0.14378303707155876,0.1436773826868411,0.14458146100089764
2005-02-25,0.0,0.1479003239097798,0.1443157886020342,0.15776923903158468,0.14972946880981444,0.14448169717755152,0.1438809088502384,0.14451011667535532
2005-02-28,0.0,0.14692591979154865,0.14350429819347346,0.1575045585689457,0.14938158200919055,0.1429257203385557,0.142947788106436,0.14442103030752088
2005-03-01,0.0,0.0,1.1607381722456012e-13,1.0295090554856428,0.0,1.251776460264864e-13,6.669664820435628e-14,1.0103029524088925e-14
2005-03-02,0.0,0.0,1.161156535160085e-13,1.0125397150707756,0.0,1.2501018700354325e-13,6.668871804324221e-14,1.010927920083222e-14
2005-03-03,0.0,0.0,1.1610517259133224e-13,1.015336905681477,0.0,1.24940432187598e-13,6.664899215922341e-14,1.0113029132210126e-14
2005-03-04,0.0,0.0,1.1648179456773854e-13,1.0274574328106219,0.0,1.2629392389369493e-13,6.695061044093381e-14,1.0113029132210126e-14
2005-03-07,0.0,0.0,1.1681641338429752e-13,1.0342169661374039,0.0,1.2679626445123623e-13,6.696648953277407e-14,1.010927920083222e-14
2005-03-08,0.0,0.0,1.1629351933704942e-13,1.0263384673168505,0.0,1.255960927717596e-13,6.664899215922341e-14,1.010927920083222e-14
2005-03-09,0.0,0.0,1.1518474239501071e-13,1.0204645120648004,0.0,1.235449525001679e-13,6.614102076203808e-14,1.0105533029412244e-14
2005-03-10,0.0,0.0,1.1534160663612804e-13,1.0106746238320048,0.0,1.242985728703442e-13,6.626009518122791e-14,1.0098032539996775e-14
2005-03-11,0.0,0.0,1.1514294583413351e-13,1.0049875347017958,0.0,1.2339152293968327e-13,6.598227207526275e-14,1.0095530914652423e-14
2005-03-14,0.0,0.0,1.1513245696334305e-13,0.9972955673174921,0.0,1.2413108646393497e-13,6.614102076203808e-14,1.009178035661486e-14
2005-03-15,0.0,0.0,1.1466164969490678e-13,0.9724486205769818,0.0,1.2334969013132458e-13,6.601398802731603e-14,1.0088031051896608e-14
2005-03-16,0.0,0.0,1.150591937900944e-13,0.9641967241983372,0.0,1.241032831180348e-13,6.616478309096216e-14,1.0100539178618372e-14
2005-03-17,0.0,0.0,1.147976633322709e-13,0.9817717339716977,0.0,1.2450787382946805e-13,6.641885794521232e-14,1.0104279710101446e-14
2005-03-18,0.0,0.0,1.1445246823766482e-13,0.9773431742268565,0.0,1.2372642272992547e-13,6.62521415580987e-14,1.0099275832753085e-14
